jobId,title,companyName,Industry,Clean_City,Min_Salary,Max_Salary,Mid_Salary
300925000173,"Business Analyst/ Collection Analyst","Whizdm Innovations",Other,"Hybrid - Bengaluru",1500000,1600000,1550000
290925017582,"Senior Business Analyst at An E-commerce Unicorn",Recruito,Other,Remote,1300000,1800000,1550000
260925027965,"Analyst - Market Risk","Indusind Bank",BFSI,"Mumbai Suburban",1000000,2000000,1500000
290925014453,"Analyst - Fund Accounting","GIG Consultants",Consulting,Bangalore,1000000,1500000,1250000
11025915421,Analyst/Asspcociate/AVP,"Intellectual Capital Hr Consulting",BFSI,Ahmedabad,600000,1600000,1100000
11025915410,"Investment Banking Analyst","Intellectual Capital Hr Consulting",BFSI,Bangalore,1000000,1200000,1100000
250925023466,"Financial Analyst",IntouchCX,Other,Hyderabad,600000,1600000,1100000
250825015191,"Credit Analyst(Commercial banking Group)Immediate Joiner & Female only","Axis Bank",BFSI,Bangalore,900000,1100000,1000000
120925027012,"International BPO-WFM/Resource Planner/RTA Analyst @A'bad, Gandhinagar","Arise Solutions",IT/Tech,Kolkata,750000,950000,850000
31025007528,"Capital Market Operations analyst","Kashcloud Kpo Services",IT/Tech,Mathura,700000,900000,800000
290925020992,"MNC hiring For " French Quality Analyst- Voice """","ESS Cee Hr Solutions",IT/Tech,Remote,600000,1000000,800000
31025002377,"Data Analyst","SG Analytics",IT/Tech,"Hybrid - Pune",500000,1000000,750000
290925012467,"Analyst- Research (Analytics & Consulting)","Argus India Price Reporting Services","Staffing/HR Services","Hybrid - Mumbai Suburban",500000,950000,725000
240925026432,"SOC Analyst L1","Kryptos Technologies",IT/Tech,Chennai,500000,850000,675000
31025011927,"Analyst - Management Consulting","Mercados Energy Markets",Manufacturing/Core,Gurugram,400000,900000,650000
240925932617,"Analyst / Executive",Innovative,Other,Pune,450000,850000,650000
260925026869,Analyst,"Vehere Technologies",IT/Tech,Kolkata,400000,900000,650000
300925020957,"Hiring For a Trainer / Quality Analyst - BPO - Salary Upto 6.5lpa","Titanium Consulting Mumbai",IT/Tech,Kochi,600000,650000,625000
120925005929,"Credit Analyst-working capital-Female-Deputy Manager","Axis Bank",BFSI,Chennai,500000,750000,625000
300925024647,"Financial Analyst","ti Steps",Other,Hyderabad,400000,800000,600000
230925019246,"Quality Analyst - QA",Regalix,Other,Hyderabad,500000,700000,600000
290925024222,"Proposal Analyst","Fidelis Corporate Solutions",IT/Tech,Bangalore,500000,700000,600000
250925011092,"Pricing Analyst - Bangalore",Redbus,Other,Bangalore,500000,650000,575000
270225016043,"Data Analyst","The Career Next","Staffing/HR Services",Kolkata,325000,825000,575000
11025022478,"Hiring Transaction Monitoring & fraud investigation Analyst 7lpa","Rivera Manpower Services",Manufacturing/Core,Bangalore,425000,700000,562500
31025009034,"Chartered Accountant (CA) Job as Financial Analyst in Share Market Co","Highrise Management","Staffing/HR Services",Ahmedabad,500000,600000,550000
230925037312,"IT Project Manager/Business Analyst","Inci Infotech",IT/Tech,Indore,300000,800000,550000
270625036686,"Digital Marketing Analyst","Orcapod Consulting Services",IT/Tech,Hyderabad,400000,700000,550000
11025022655,"BPO MNC Hiring For " Quality Analyst ""- Noida"","ESS Cee Hr Solutions",IT/Tech,Gurugram,400000,700000,550000
240925026854,"Hiring Analyst For IVRT/IVPT team","Invitron Advanced Analytics Pvt Ltd",IT/Tech,Hyderabad,300000,800000,550000
150725021543,"WISE is hiring KYC Operations Associate Analyst in Hyderabad","Wise Payments",Other,Hyderabad,500000,600000,550000
300725022021,"Health Care Analyst","Smart Steps HR Services","Staffing/HR Services",Gurugram,500000,600000,550000
240925009165,"Quality Analyst","PM Hr Solutions",IT/Tech,Gurugram,500000,600000,550000
120525025178,"Data Analytics Fresher , Data Analyst Fresher","Ablycon Global Angalore",Other,Hyderabad,425000,650000,537500
240925000291,"Accounts & Financial Analyst","Avinash Srivastava",Other,Hyderabad,425000,650000,537500
290925006065,"Data Analyst","IIFL Finance",BFSI,Gurugram,400000,650000,525000
230925014023,"SME / Team Lead / Operations / Senior Analyst / Banking / Voice / BPO/","Inspiration Manpower Consultancy",Manufacturing/Core,Kolkata,300000,750000,525000
240925022799,"SOC Analyst 1","Black Box",Other,Bangalore,450000,550000,500000
40925016342,"Travel And Expense Analyst","Manpowergroup Services India",Manufacturing/Core,Hyderabad,300000,700000,500000
40925026988,"E-commerce Ads Analyst","Exotic Mile",Other,Gurugram,350000,650000,500000
